variant,metric,mean,std,ci_lower,ci_upper
V1_Naive,faithfulness,0.3648,0.0328,0.3286,0.3927
V1_Naive,answer_relevancy,0.2599,0.0114,0.2467,0.2667
V1_Naive,context_precision,0.295,0.0207,0.2762,0.3172
V1_Naive,context_recall,0.3716,0.0179,0.3525,0.388
V2_HyDE,faithfulness,0.4634,0.052,0.4055,0.5061
V2_HyDE,answer_relevancy,0.2072,0.02,0.1874,0.2273
V2_HyDE,context_precision,0.136,0.0129,0.1261,0.1506
V2_HyDE,context_recall,0.2634,0.0293,0.2335,0.2921
V3_Reranker,faithfulness,0.3519,0.0219,0.3267,0.3664
V3_Reranker,answer_relevancy,0.224,0.0346,0.1879,0.257
V3_Reranker,context_precision,0.3111,0.0179,0.2907,0.3243
V3_Reranker,context_recall,0.3401,0.0151,0.3259,0.356
V4_HyDE_Reranker,faithfulness,0.4477,0.0601,0.3784,0.4859
V4_HyDE_Reranker,answer_relevancy,0.2303,0.0151,0.2167,0.2466
V4_HyDE_Reranker,context_precision,0.176,0.0288,0.1449,0.2017
V4_HyDE_Reranker,context_recall,0.2848,0.0322,0.2495,0.3126
V5_MultiQuery,faithfulness,0.4123,0.0364,0.3716,0.4417
V5_MultiQuery,answer_relevancy,0.237,0.0615,0.1681,0.2865
V5_MultiQuery,context_precision,0.2435,0.0072,0.2353,0.2482
V5_MultiQuery,context_recall,0.3159,0.0304,0.2808,0.3345
V7_Hybrid,faithfulness,0.5854,0.0212,0.5646,0.607
V7_Hybrid,answer_relevancy,0.2613,0.036,0.2201,0.2868
V7_Hybrid,context_precision,0.3108,0.0109,0.3012,0.3226
V7_Hybrid,context_recall,0.4779,0.0418,0.4296,0.5029
